users_id,country,gender,cust_group,join_date,group_device,date,activity_device,spent
1000000,CAN,M,B,28/01/2023,I,,,
1000001,BRA,M,A,27/01/2023,A,,,
1000002,FRA,M,A,01/02/2023,A,,,
1000003,BRA,M,B,25/01/2023,I,,,
1000004,DEU,F,A,04/02/2023,A,,,
1000005,GBR,F,B,26/01/2023,A,,,
1000006,ESP,M,B,31/01/2023,A,,,
1000007,BRA,F,A,25/01/2023,A,,,
1000008,BRA,F,A,05/02/2023,A,,,
1000009,USA,,A,31/01/2023,A,,,
1000010,BRA,M,B,01/02/2023,I,,,
1000012,USA,M,B,25/01/2023,A,,,
1000013,GBR,F,A,25/01/2023,A,,,
1000014,USA,M,A,28/01/2023,A,,,
1000015,AUS,F,A,29/01/2023,A,,,
1000016,DEU,F,A,28/01/2023,I,,,
1000017,MEX,O,B,26/01/2023,A,,,
1000018,USA,M,B,26/01/2023,I,,,
1000019,MEX,F,B,25/01/2023,A,,,
1000020,AUS,M,A,01/02/2023,A,,,
1000021,GBR,M,B,29/01/2023,A,,,
1000022,DEU,F,B,25/01/2023,A,,,
1000023,BRA,M,B,29/01/2023,I,,,
1000024,CAN,M,A,25/01/2023,A,,,
1000025,USA,M,A,25/01/2023,I,,,
1000026,DEU,F,B,27/01/2023,A,,,
1000027,BRA,,B,31/01/2023,I,,,
1000028,BRA,F,A,28/01/2023,A,,,
1000029,MEX,M,A,25/01/2023,A,,,
1000030,FRA,F,A,26/01/2023,I,,,
1000031,GBR,F,B,25/01/2023,I,,,
1000032,GBR,,A,27/01/2023,I,,,
1000033,FRA,,A,31/01/2023,A,,,
1000034,USA,M,A,26/01/2023,A,,,
1000035,USA,F,B,27/01/2023,A,,,
1000036,USA,F,B,30/01/2023,A,,,
1000037,TUR,M,B,26/01/2023,A,,,
1000038,BRA,M,A,25/01/2023,A,,,
1000039,GBR,F,B,04/02/2023,A,04/02/2023,A,36.65
1000040,USA,F,A,25/01/2023,A,,,
1000041,CAN,M,A,27/01/2023,A,,,
1000042,BRA,F,A,25/01/2023,I,,,
1000043,,F,B,25/01/2023,A,,,
1000044,USA,,B,27/01/2023,A,,,
1000045,USA,F,B,26/01/2023,I,30/01/2023,I,51.58
1000046,BRA,M,A,26/01/2023,I,,,
1000047,USA,F,A,26/01/2023,A,,,
1000048,CAN,F,A,26/01/2023,I,,,
1000049,USA,F,A,26/01/2023,A,,,
1000050,MEX,M,A,29/01/2023,A,,,
1000051,MEX,,B,29/01/2023,I,,,
1000052,BRA,M,B,30/01/2023,I,,,
1000053,BRA,M,A,28/01/2023,A,,,
1000054,GBR,F,B,25/01/2023,A,,,
1000055,ESP,M,A,25/01/2023,A,,,
1000056,AUS,M,B,29/01/2023,A,,,
1000057,BRA,O,B,26/01/2023,A,,,
1000058,TUR,F,A,26/01/2023,A,,,
1000059,DEU,F,A,27/01/2023,A,,,
1000061,DEU,M,B,25/01/2023,A,,,
1000062,AUS,F,B,25/01/2023,I,,,
1000063,USA,F,A,27/01/2023,A,,,
1000064,CAN,M,B,31/01/2023,A,,,
1000065,TUR,F,B,01/02/2023,I,,,
1000066,DEU,,A,25/01/2023,A,,,
1000067,BRA,M,A,27/01/2023,A,,,
1000068,GBR,F,B,30/01/2023,A,,,
1000069,ESP,M,B,30/01/2023,A,,,
1000070,ESP,M,A,26/01/2023,I,,,
1000071,USA,F,B,31/01/2023,I,02/02/2023,I,6.71
1000072,DEU,F,B,28/01/2023,I,,,
1000073,USA,M,A,29/01/2023,A,,,
1000074,BRA,O,B,30/01/2023,A,,,
1000075,GBR,M,A,30/01/2023,A,,,
1000076,USA,F,A,25/01/2023,I,,,
1000077,AUS,F,A,25/01/2023,,,,
1000078,FRA,F,A,26/01/2023,A,,,
1000080,USA,,A,26/01/2023,A,,,
1000081,USA,F,A,26/01/2023,A,,,
1000082,BRA,M,B,25/01/2023,A,,,
1000083,BRA,F,A,27/01/2023,A,,,
1000084,MEX,M,A,26/01/2023,A,,,
1000085,MEX,M,A,26/01/2023,I,,,
1000086,BRA,M,B,28/01/2023,A,,,
1000087,ESP,M,B,28/01/2023,A,,,
1000088,,O,B,27/01/2023,A,,,
1000089,BRA,F,A,25/01/2023,I,,,
1000090,USA,F,B,27/01/2023,A,,,
1000091,BRA,M,B,26/01/2023,A,,,
1000092,BRA,,B,03/02/2023,I,,,
1000093,TUR,M,B,30/01/2023,I,,,
1000094,DEU,M,B,26/01/2023,A,,,
1000095,CAN,F,B,27/01/2023,I,,,
1000096,USA,F,B,29/01/2023,A,,,
1000097,MEX,O,B,26/01/2023,I,,,
1000098,GBR,M,A,30/01/2023,A,,,
1000099,USA,,A,03/02/2023,A,,,
1000100,,M,B,31/01/2023,A,,,
1000101,MEX,F,B,02/02/2023,A,05/02/2023,A,5.674496941
1000101,MEX,F,B,02/02/2023,A,02/02/2023,A,18.13
1000102,USA,M,A,28/01/2023,A,,,
1000103,BRA,M,A,02/02/2023,A,,,
1000104,USA,,A,29/01/2023,A,,,
1000105,USA,M,A,25/01/2023,I,,,
1000106,TUR,,A,27/01/2023,A,,,
1000107,BRA,,A,25/01/2023,A,,,
1000108,MEX,M,B,02/02/2023,A,,,
1000109,MEX,M,B,25/01/2023,A,,,
1000110,USA,M,A,29/01/2023,A,,,
1000111,GBR,,B,27/01/2023,A,,,
1000112,USA,F,A,28/01/2023,A,,,
1000113,BRA,M,B,28/01/2023,A,,,
1000114,CAN,M,A,28/01/2023,I,,,
1000115,MEX,M,A,27/01/2023,A,,,
1000117,ESP,,A,29/01/2023,I,,,
1000118,USA,M,B,25/01/2023,,,,
1000119,BRA,F,B,29/01/2023,A,,,
1000120,TUR,M,B,28/01/2023,I,,,
1000121,ESP,F,B,25/01/2023,A,,,
1000122,BRA,F,A,28/01/2023,A,,,
1000123,DEU,,B,26/01/2023,I,26/01/2023,I,100.74
1000124,MEX,M,B,30/01/2023,A,,,
1000125,DEU,F,A,04/02/2023,A,,,
1000126,TUR,F,A,03/02/2023,I,,,
1000127,USA,F,B,26/01/2023,A,,,
1000128,GBR,M,B,03/02/2023,A,,,
1000129,DEU,M,A,31/01/2023,I,,,
1000130,USA,M,B,27/01/2023,A,,,
1000131,BRA,,A,25/01/2023,A,,,
1000132,USA,F,B,06/02/2023,I,,,
1000133,USA,,A,29/01/2023,I,,,
1000134,USA,,B,28/01/2023,I,,,
1000135,USA,M,B,25/01/2023,I,,,
1000136,MEX,M,A,25/01/2023,A,,,
1000137,USA,M,A,29/01/2023,A,,,
1000138,BRA,M,B,28/01/2023,I,,,
1000139,USA,,A,25/01/2023,I,,,
1000140,USA,M,A,27/01/2023,I,,,
1000141,BRA,M,A,25/01/2023,A,25/01/2023,A,11.49
1000142,USA,F,B,26/01/2023,,,,
1000143,USA,,B,25/01/2023,I,,,
1000144,USA,M,A,26/01/2023,I,,,
1000145,MEX,,A,25/01/2023,I,,,
1000146,BRA,F,A,29/01/2023,A,,,
1000147,TUR,F,A,03/02/2023,A,,,
1000148,FRA,M,A,26/01/2023,I,,,
1000149,,M,A,25/01/2023,I,,,
1000150,USA,F,B,05/02/2023,I,,,
1000151,MEX,M,A,28/01/2023,I,,,
1000152,MEX,F,B,06/02/2023,I,,,
1000153,USA,F,B,27/01/2023,A,,,
1000155,DEU,M,A,26/01/2023,I,,,
1000156,BRA,M,A,25/01/2023,I,,,
1000157,ESP,F,A,28/01/2023,I,,,
1000158,TUR,M,A,26/01/2023,I,,,
1000160,USA,F,A,25/01/2023,A,29/01/2023,A,35.34
1000161,,M,A,31/01/2023,A,,,
